	0
HNF4A	0.6372384218868087
NTSR2	0.5580348270470329
SLC6A7	0.512872314330441
INS	0.46249346561661864
XDH	0.4333327885682296
ALB	0.39520342563359706
GABRD	0.38776255678789356
FGR	0.3806889063980663
TCF4	0.3770986192523894
PAX7	0.36941318071748536
CAMK2A	0.36867315510693577
PDGFRB	0.36742204427370717
HTR6	0.36614138384185607
SLC9A3	0.35483836653644346
SERPINA4	0.34805005371981906
FN1	0.3473110732104969
CAMK2B	0.3468631107276955
SFN	0.3462864537764959
SERPINA1	0.3408532659450109
ACRV1	0.3405995041741342
GJD2	0.3379021380042044
NTRK1	0.33785759234174134
FOS	0.3337496599143966
HSPA2	0.32906130777995324
PRKCG	0.32460948205836765
FOXA1	0.32366937436139176
CASP1	0.32264844961471584
SPTB	0.3206022659720402
EGF	0.31998681003748397
EGR1	0.31942291659489935
KNG1	0.3188732900044894
F2	0.3182417376271992
NEUROD2	0.3151153697728541
IL6	0.3138248358558129
RAD51	0.31348053311753704
PRKCE	0.3103867803121248
CXCL8	0.3082180512836874
NPPA	0.30815049700653313
CPNE6	0.306943711826644
TUBB3	0.30649335259343574
SLC7A7	0.3016683916939683
IL10RA	0.2986684470690162
AGTR1	0.2983056568996332
MMP14	0.29773488679518184
GRM1	0.29546849973773986
GPR65	0.29336678859551546
SOD2	0.2906569369084955
THBS1	0.28993537828437643
TERT	0.2892630705852062
JAK3	0.28740620896838975
HSPG2	0.28363660381156774
SLC11A1	0.2828906262277352
THEMIS2	0.28272316176205664
PTAFR	0.28171226189549553
AANAT	0.2814927729904059
PRL	0.28081241800874823
SLC2A5	0.2796866055784994
MYH7	0.2790860476644674
C1QB	0.27864197302048055
NR0B2	0.2781308901963241
LGALS3	0.2773521626980291
ACTA2	0.2759592211542375
PLG	0.2758119738597844
PLAUR	0.2756487856163486
PLCB2	0.2743749116793513
ACTL8	0.27414579846471865
SLC34A1	0.27238277652651216
RUNX3	0.2721879396632618
SST	0.26986164883065134
CD14	0.26960737406921137
CYP2C9	0.26955520354613244
APOC3	0.26932258338247705
ADCY4	0.2670945343914596
MET	0.26679910961599057
HTR3A	0.26639706291869664
TP73	0.2654912598785645
C1QA	0.26482969321024286
CSF2	0.2648051100393869
PSG1	0.26443253450006426
PDGFRA	0.2643585210393585
CDKN3	0.26423470301563057
HRG	0.26393080042448164
RNASE6	0.26382722105605305
